,EventTime,Origin,Destination
914,2023.005467,Jiangsu,Shaanxi
191,2023.005477,Sichuan,Hainan
591,2023.005477,Yunnan,Hainan
1153,2023.005487,Shanghai,Yunnan
1851,2023.006087,Hubei,Henan
396,2023.007647,Zhejiang,Anhui
800,2023.008197,Jiangsu,Guangdong
862,2023.008197,Jiangsu,Jiangxi
915,2023.008197,Jiangsu,Hainan
66,2023.008207,Anhui,Shanghai
207,2023.008207,Ningxia,Taiwan
340,2023.008207,Shanghai,Jilin
568,2023.008207,Yunnan,Jilin
577,2023.008207,Sichuan,Hainan
687,2023.008207,Inner Mongolia,Jilin
866,2023.008207,Jiangxi,Hubei
123,2023.009387,Hebei,Liaoning
894,2023.010047,Jiangsu,Hebei
773,2023.010927,Jiangsu,Hebei
469,2023.010937,Tianjin,Jilin
485,2023.010937,Hebei,Jilin
499,2023.010937,Xinjiang,Henan
669,2023.010937,Jilin,Liaoning
730,2023.010937,Shanghai,Guangdong
272,2023.010947,Hebei,Jilin
333,2023.010947,Jiangxi,Jilin
473,2023.010947,Guangxi,Jilin
563,2023.010947,Liaoning,Jilin
606,2023.010947,Inner Mongolia,Guangxi
30,2023.010957,Shanghai,Tianjin
265,2023.010957,Liaoning,Jilin
619,2023.010957,Inner Mongolia,Jilin
465,2023.012687,Anhui,Inner Mongolia
101,2023.013677,Sichuan,Hunan
140,2023.013677,Hong Kong,Taiwan
495,2023.013677,Hong Kong,Inner Mongolia
885,2023.013677,Jiangsu,Shandong
886,2023.013677,Jiangsu,Shanghai
916,2023.013677,Jiangsu,Hunan
97,2023.013687,Sichuan,Xinjiang
135,2023.013687,Shaanxi,Inner Mongolia
186,2023.013687,Sichuan,Jiangsu
380,2023.013687,Anhui,Jiangxi
420,2023.013687,Anhui,Guangdong
439,2023.013687,Zhejiang,Guangxi
529,2023.013687,Hebei,Inner Mongolia
532,2023.013687,Tianjin,Inner Mongolia
545,2023.013687,Anhui,Shandong
747,2023.013687,Shanxi,Inner Mongolia
790,2023.013687,Jiangsu,Fujian
827,2023.013687,Zhejiang,Taiwan
836,2023.013687,Zhejiang,Hunan
844,2023.013687,Zhejiang,Taiwan
571,2023.013697,Yunnan,Guangxi
944,2023.013697,Hong Kong,Jilin
137,2023.016417,Shaanxi,Hebei
181,2023.016417,Sichuan,Shanxi
361,2023.016417,Yunnan,Shanghai
867,2023.016417,Jiangsu,Shanghai
917,2023.016417,Jiangsu,Guangxi
12,2023.016427,Zhejiang,Shandong
20,2023.016427,Shanghai,Zhejiang
74,2023.016427,Anhui,Shanghai
534,2023.016427,Hebei,Ningxia
578,2023.016427,Sichuan,Shanghai
828,2023.016427,Zhejiang,Taiwan
32,2023.016437,Hong Kong,Zhejiang
266,2023.016437,Liaoning,Ningxia
53,2023.019157,Anhui,Shanxi
128,2023.019157,Sichuan,Yunnan
551,2023.019157,Jilin,Heilongjiang
664,2023.019157,Hebei,Ningxia
818,2023.019157,Jiangsu,Taiwan
6,2023.019167,Beijing,Zhejiang
7,2023.019167,Beijing,Zhejiang
250,2023.019167,Tianjin,Hubei
294,2023.019167,Inner Mongolia,Zhejiang
348,2023.019167,Hebei,Yunnan
544,2023.019167,Anhui,Zhejiang
585,2023.019167,Sichuan,Taiwan
588,2023.019167,Sichuan,Yunnan
707,2023.019167,Tianjin,Chongqing
801,2023.019167,Jiangsu,Shandong
811,2023.019167,Jiangxi,Zhejiang
94,2023.021897,Sichuan,Chongqing
136,2023.021897,Shaanxi,Zhejiang
448,2023.021897,Zhejiang,Fujian
460,2023.021897,Zhejiang,Tianjin
599,2023.021907,Yunnan,Zhejiang
57,2023.022047,Anhui,Henan
855,2023.022827,Shandong,Yunnan
672,2023.024637,Jilin,Yunnan
1918,2023.024637,Shanghai,Taiwan
826,2023.024647,Zhejiang,Shaanxi
151,2023.025337,Tianjin,Jiangsu
273,2023.025567,Jilin,Tianjin
751,2023.027187,Tianjin,Heilongjiang
698,2023.027367,Hainan,Ningxia
68,2023.027377,Anhui,Sichuan
399,2023.027377,Hubei,Guangdong
432,2023.027377,Zhejiang,Guangxi
478,2023.027377,Hebei,Tianjin
268,2023.027387,Xinjiang,Tianjin
310,2023.027387,Shanghai,Ningxia
391,2023.027387,Anhui,Shandong
611,2023.027397,Inner Mongolia,Ningxia
61,2023.027837,Anhui,Shandong
413,2023.028667,Anhui,Hebei
305,2023.028807,Hong Kong,Shanghai
1739,2023.029727,Hubei,Qinghai
39,2023.030117,Anhui,Zhejiang
60,2023.030117,Anhui,Zhejiang
64,2023.030117,Anhui,Zhejiang
349,2023.030117,Hebei,Tianjin
476,2023.030117,Hebei,Gansu
799,2023.030117,Jiangsu,Guizhou
892,2023.030117,Jiangsu,Heilongjiang
893,2023.030117,Jiangsu,Shaanxi
918,2023.030117,Jiangsu,Inner Mongolia
41,2023.030127,Anhui,Shanxi
147,2023.030127,Ningxia,Inner Mongolia
148,2023.030127,Ningxia,Tianjin
167,2023.030127,Guangxi,Chongqing
274,2023.030127,Tianjin,Guizhou
383,2023.030127,Anhui,Guangdong
584,2023.030127,Sichuan,Guizhou
786,2023.030127,Jiangsu,Inner Mongolia
121,2023.030137,Hebei,Hubei
573,2023.030137,Yunnan,Guizhou
616,2023.030137,Inner Mongolia,Shaanxi
451,2023.031037,Anhui,Fujian
809,2023.032837,Jiangsu,Heilongjiang
498,2023.032857,Xinjiang,Gansu
582,2023.032857,Sichuan,Guangxi
694,2023.032857,Beijing,Guizhou
804,2023.032857,Jiangsu,Anhui
88,2023.032867,Sichuan,Ningxia
241,2023.032867,Tianjin,Guangdong
415,2023.032867,Anhui,Jiangxi
574,2023.032867,Yunnan,Xinjiang
579,2023.032867,Sichuan,Guizhou
776,2023.033387,Taiwan,Liaoning
1117,2023.033797,Yunnan,Zhejiang
470,2023.035597,Tianjin,Gansu
486,2023.035597,Jilin,Guangdong
765,2023.035597,Jiangsu,Taiwan
919,2023.035597,Jiangsu,Hunan
411,2023.035607,Hebei,Shandong
832,2023.035607,Zhejiang,Hunan
838,2023.035607,Zhejiang,Taiwan
223,2023.035617,Tianjin,Hunan
40,2023.038337,Anhui,Fujian
673,2023.038337,Jilin,Inner Mongolia
