,EventTime,Origin,Destination
307,2023.339737,Hubei,Jiangxi
308,2023.339737,Hubei,Jiangxi
309,2023.339737,Hubei,Jiangxi
310,2023.339907,Shanghai,Guangdong
311,2023.342447,Fujian,Heilongjiang
312,2023.342457,Sichuan,Shanghai
313,2023.342457,Beijing,Shanghai
314,2023.342457,Sichuan,Jiangxi
315,2023.342457,Hubei,Beijing
316,2023.342457,Anhui,Heilongjiang
317,2023.342467,Henan,Shanghai
318,2023.342467,Sichuan,Jiangsu
319,2023.342467,Sichuan,Anhui
320,2023.342467,Fujian,Shanghai
321,2023.342467,Hubei,Jiangxi
322,2023.342467,Hubei,Sichuan
323,2023.342467,Hubei,Beijing
324,2023.342477,Sichuan,Guangdong
325,2023.342477,Hubei,Shanghai
326,2023.342477,Shanghai,Guangdong
327,2023.342477,Anhui,Zhejiang
328,2023.342487,Hubei,Zhejiang
329,2023.342767,Hubei,Shanxi
330,2023.342967,Liaoning,Hubei
331,2023.345187,Guangdong,Hubei
332,2023.345197,Sichuan,Yunnan
333,2023.345197,Tianjin,Liaoning
334,2023.345197,Jiangsu,Shanghai
335,2023.345197,Yunnan,Beijing
336,2023.345197,Beijing,Guangdong
337,2023.345197,Hubei,Guangdong
338,2023.345197,Hubei,Beijing
339,2023.345197,Hong Kong,Beijing
340,2023.345207,Hubei,Yunnan
341,2023.345207,Hubei,Guangdong
342,2023.345207,Hubei,Anhui
343,2023.345207,Sichuan,Hubei
344,2023.345207,Jiangxi,Fujian
345,2023.345207,Gansu,Jiangxi
346,2023.345207,Jiangsu,Guangdong
347,2023.345217,Jiangsu,Fujian
348,2023.345217,Hubei,Beijing
349,2023.345217,Jiangsu,Guangdong
350,2023.345217,Anhui,Qinghai
351,2023.345217,Shanghai,Guangdong
352,2023.345237,Beijing,Sichuan
353,2023.345457,Hubei,Shanghai
354,2023.347237,Anhui,Heilongjiang
355,2023.347937,Liaoning,Beijing
356,2023.347937,Tianjin,Gansu
357,2023.347937,Jiangxi,Yunnan
358,2023.347937,Yunnan,Jiangxi
359,2023.347937,Sichuan,Jiangxi
360,2023.347937,Jiangsu,Guangdong
361,2023.347937,Jiangsu,Anhui
362,2023.347947,Hong Kong,Yunnan
363,2023.347947,Shanghai,Jiangxi
364,2023.347947,Beijing,Jiangxi
365,2023.347947,Guangdong,Jiangxi
366,2023.347947,Guangdong,Jiangxi
367,2023.347947,Hubei,Sichuan
368,2023.347947,Jiangsu,Anhui
369,2023.347947,Yunnan,Anhui
370,2023.347947,Yunnan,Jiangxi
371,2023.347947,Hubei,Guangdong
372,2023.347947,Jiangxi,Fujian
373,2023.347947,Henan,Jiangsu
374,2023.347947,Zhejiang,Shanxi
375,2023.347947,Shanghai,Beijing
376,2023.347957,Shanghai,Yunnan
377,2023.347957,Hubei,Beijing
378,2023.349337,Jiangsu,Hong Kong
379,2023.349707,Hubei,Jiangsu
380,2023.350667,Henan,Guangdong
381,2023.350677,Shanghai,Fujian
382,2023.350677,Liaoning,Jiangxi
383,2023.350677,Shanghai,Anhui
384,2023.350687,Sichuan,Hubei
385,2023.350687,Sichuan,Hubei
386,2023.350687,Hubei,Anhui
387,2023.350687,Hubei,Beijing
388,2023.350687,Shanghai,Guangdong
389,2023.350687,Henan,Beijing
390,2023.351767,Hubei,Jiangsu
391,2023.352137,Hubei,Gansu
392,2023.353417,Shanghai,Beijing
393,2023.353427,Shanghai,Guangdong
394,2023.353437,Jiangsu,Yunnan
395,2023.353437,Hubei,Jiangxi
396,2023.353437,Shanghai,Jiangsu
397,2023.353437,Shanghai,Sichuan
398,2023.353877,Hubei,Sichuan
399,2023.354327,Anhui,Beijing
400,2023.356157,Tianjin,Heilongjiang
401,2023.356157,Hubei,Guangdong
402,2023.356157,Hubei,Guangdong
403,2023.356157,Hubei,Beijing
404,2023.356157,Henan,Beijing
405,2023.356167,Shanghai,Beijing
406,2023.356167,Sichuan,Shanghai
407,2023.356167,Sichuan,Yunnan
408,2023.356167,Guangdong,Jiangxi
409,2023.356167,Hubei,Beijing
410,2023.356167,Yunnan,Shanghai
411,2023.356177,Guangdong,Heilongjiang
412,2023.356187,Guangdong,Hong Kong
413,2023.356187,Beijing,Heilongjiang
414,2023.357507,Taiwan,Fujian
415,2023.358897,Liaoning,Fujian
416,2023.358897,Hubei,Shanxi
417,2023.358897,Henan,Beijing
418,2023.358907,Hubei,Beijing
419,2023.358907,Hubei,Yunnan
420,2023.359797,Hubei,Henan
421,2023.360437,Hong Kong,Shanghai
422,2023.361497,Hubei,Heilongjiang
423,2023.361627,Shanghai,Shanxi
424,2023.361627,Hong Kong,Guangdong
425,2023.361637,Liaoning,Shanxi
426,2023.361637,Tianjin,Shanxi
427,2023.361637,Shanghai,Fujian
428,2023.361637,Henan,Shanxi
429,2023.361647,Guangdong,Hong Kong
430,2023.361647,Hubei,Yunnan
431,2023.361657,Hubei,Anhui
432,2023.361657,Hubei,Gansu
433,2023.361667,Anhui,Shanxi
434,2023.361667,Anhui,Shanxi
435,2023.361667,Shanghai,Shanxi
436,2023.364377,Taiwan,Jiangxi
437,2023.364377,Sichuan,Yunnan
438,2023.364377,Hubei,Shanxi
439,2023.364387,Hong Kong,Yunnan
440,2023.364387,Liaoning,Shanxi
441,2023.364387,Shanghai,Jiangsu
442,2023.364387,Hubei,Shanghai
443,2023.364387,Hubei,Shanxi
444,2023.364397,Hubei,Sichuan
445,2023.364407,Anhui,Yunnan
446,2023.365677,Yunnan,Henan
447,2023.367117,Yunnan,Gansu
448,2023.367117,Jiangsu,Yunnan
449,2023.367117,Sichuan,Fujian
450,2023.367117,Sichuan,Yunnan
451,2023.367137,Hubei,Yunnan
452,2023.368547,Gansu,Xinjiang
453,2023.369857,Shanghai,Fujian
454,2023.369857,Jiangxi,Fujian
455,2023.369857,Hubei,Taiwan
456,2023.369857,Zhejiang,Shanghai
457,2023.369867,Sichuan,Yunnan
458,2023.369867,Shanghai,Hong Kong
459,2023.369877,Sichuan,Jiangsu
460,2023.369887,Henan,Taiwan
461,2023.370127,Shanghai,Henan
462,2023.370537,Hubei,Yunnan
463,2023.372607,Hubei,Fujian
464,2023.372617,Jiangsu,Jiangxi
465,2023.372617,Sichuan,Yunnan
466,2023.373507,Hubei,Guangdong
467,2023.373637,Henan,Hong Kong
468,2023.375337,Liaoning,Yunnan
469,2023.375337,Jiangsu,Anhui
470,2023.375337,Guangdong,Shanghai
471,2023.375337,Sichuan,Shanghai
472,2023.375337,Hubei,Yunnan
473,2023.375347,Hubei,Heilongjiang
474,2023.375347,Anhui,Jiangxi
475,2023.375347,Hubei,Jiangsu
476,2023.375347,Hubei,Fujian
477,2023.375357,Anhui,Shanghai
478,2023.375357,Hubei,Qinghai
479,2023.375357,Shanghai,Fujian
480,2023.378077,Fujian,Jiangsu
481,2023.378077,Sichuan,Shanghai
482,2023.378077,Beijing,Jiangsu
483,2023.378087,Beijing,Heilongjiang
484,2023.378087,Hubei,Sichuan
485,2023.378087,Hubei,Jiangxi
486,2023.378087,Hubei,Gansu
487,2023.378097,Jiangsu,Anhui
488,2023.378097,Hubei,Qinghai
489,2023.380807,Jiangsu,Yunnan
490,2023.380817,Hubei,Jiangxi
491,2023.380817,Hubei,Yunnan
492,2023.380817,Hubei,Henan
493,2023.380847,Guangdong,Jiangsu
